BarCode,Product Name,SKU,Collection,SIZE,Sale Price,Cost Price,Collection Description,Collection Discount,Tax Percentage,STATUS
5080502957,BLUE OCEAN,PBN-255,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502958,YELLOW CANDY,PBN-256,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502959,YELLOW CANDY,PBN-256,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502960,YELLOW CANDY,PBN-256,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502961,YELLOW CANDY,PBN-256,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502962,YELLOW CANDY,PBN-256,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502963,YELLOW CANDY,PBN-256,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502964,YELLOW CANDY,PBN-256,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502965,TURQUOISE,PBN-257,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502966,TURQUOISE,PBN-257,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502967,TURQUOISE,PBN-257,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502968,TURQUOISE,PBN-257,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502969,TURQUOISE,PBN-257,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502970,TURQUOISE,PBN-257,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502971,TURQUOISE,PBN-257,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502972,TURQUOISE,PBN-257,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502973,TURQUOISE,PBN-257,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502974,TURQUOISE,PBN-257,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502975,TURQUOISE,PBN-257,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502976,TURQUOISE,PBN-257,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502977,SEA FLORAL,PBN-258,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502978,SEA FLORAL,PBN-258,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502979,SEA FLORAL,PBN-258,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502980,SEA FLORAL,PBN-258,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502981,SEA FLORAL,PBN-258,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502982,SEA FLORAL,PBN-258,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502983,SEA FLORAL,PBN-258,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502984,AZURE,PBN-259,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502985,AZURE,PBN-259,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
