BarCode,Product Name,SKU,Collection,SIZE,Sale Price,Cost Price,Collection Description,Collection Discount,Tax Percentage,STATUS
5071502150,Midnight Haze M,TSP-25310,Palette,M,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502151,Midnight Haze L,TSP-25310,Palette,L,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502152,Midnight Haze XL,TSP-25310,Palette,XL,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502153,Amethyst S,TSP-25410,Palette,S,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502154,Amethyst M,TSP-25410,Palette,M,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502155,Amethyst L,TSP-25410,Palette,L,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502156,Amethyst XL,TSP-25410,Palette,XL,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502157,Amethyst S,TSP-25410,Palette,S,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502158,Amethyst M,TSP-25410,Palette,M,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502159,Amethyst L,TSP-25410,Palette,L,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502160,Amethyst XL,TSP-25410,Palette,XL,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502161,Olive Luxe S,TSP-25510,Palette,S,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502162,Olive Luxe M,TSP-25510,Palette,M,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502163,Olive Luxe L,TSP-25510,Palette,L,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502164,Olive Luxe XL,TSP-25510,Palette,XL,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502165,Olive Luxe S,TSP-25510,Palette,S,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502166,Olive Luxe M,TSP-25510,Palette,M,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502167,Olive Luxe L,TSP-25510,Palette,L,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502168,Olive Luxe XL,TSP-25510,Palette,XL,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502169,Aqua Mist S,TSP-25610,Palette,S,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502170,Aqua Mist M,TSP-25610,Palette,M,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502171,Aqua Mist L,TSP-25610,Palette,L,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502172,Aqua Mist XL,TSP-25610,Palette,XL,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502173,Aqua Mist S,TSP-25610,Palette,S,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502174,Aqua Mist M,TSP-25610,Palette,M,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502175,Aqua Mist L,TSP-25610,Palette,L,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502176,Aqua Mist XL,TSP-25610,Palette,XL,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502177,Mahogany S,TSP-25710,Palette,S,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502178,Mahogany M,TSP-25710,Palette,M,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502179,Mahogany L,TSP-25710,Palette,L,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502180,Mahogany XL,TSP-25710,Palette,XL,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502181,Mahogany S,TSP-25710,Palette,S,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502182,Mahogany M,TSP-25710,Palette,M,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502183,Mahogany L,TSP-25710,Palette,L,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502184,Mahogany XL,TSP-25710,Palette,XL,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502185,Zafira S,TSZL-25711,Zar,S,"  6,950 ","  6,950 ",2-PIECE Jaquard,35%,0%,ACTIVE
5071502186,Zafira M,TSZL-25711,Zar,M,"  6,950 ","  6,950 ",2-PIECE Jaquard,35%,0%,ACTIVE
5071502187,Zafira L,TSZL-25711,Zar,L,"  6,950 ","  6,950 ",2-PIECE Jaquard,35%,0%,ACTIVE
5071502188,Zafira XL,TSZL-25711,Zar,XL,"  6,950 ","  6,950 ",2-PIECE Jaquard,35%,0%,ACTIVE
5071502189,Zafira S,TSZL-25711,Zar,S,"  6,950 ","  6,950 ",2-PIECE Jaquard,35%,0%,ACTIVE
5071502190,Zafira M,TSZL-25711,Zar,M,"  6,950 ","  6,950 ",2-PIECE Jaquard,35%,0%,ACTIVE
5071502191,Zafira L,TSZL-25711,Zar,L,"  6,950 ","  6,950 ",2-PIECE Jaquard,35%,0%,ACTIVE
5071502192,Zafira XL,TSZL-25711,Zar,XL,"  6,950 ","  6,950 ",2-PIECE Jaquard,35%,0%,ACTIVE
5071502193,Rameen S,TSZL-25712,Zar,S,"  6,950 ","  6,950 ",2-PIECE Jaquard,35%,0%,ACTIVE
5071502194,Rameen M,TSZL-25712,Zar,M,"  6,950 ","  6,950 ",2-PIECE Jaquard,35%,0%,ACTIVE
5071502195,Rameen L,TSZL-25712,Zar,L,"  6,950 ","  6,950 ",2-PIECE Jaquard,35%,0%,ACTIVE
5071502196,Rameen XL,TSZL-25712,Zar,XL,"  6,950 ","  6,950 ",2-PIECE Jaquard,35%,0%,ACTIVE
5071502197,Rameen S,TSZL-25712,Zar,S,"  6,950 ","  6,950 ",2-PIECE Jaquard,35%,0%,ACTIVE
5071502198,Rameen M,TSZL-25712,Zar,M,"  6,950 ","  6,950 ",2-PIECE Jaquard,35%,0%,ACTIVE
5071502199,Rameen L,TSZL-25712,Zar,L,"  6,950 ","  6,950 ",2-PIECE Jaquard,35%,0%,ACTIVE
5071502200,Rameen XL,TSZL-25712,Zar,XL,"  6,950 ","  6,950 ",2-PIECE Jaquard,35%,0%,ACTIVE
5071502201,Off White L,TSE-25910,ESSENTIAL LUXE,L,"  2,450 ","  2,450 ",Trouser,35%,0%,ACTIVE
5071502202,Off White L,TSE-25910,ESSENTIAL LUXE,L,"  2,450 ","  2,450 ",Trouser,35%,0%,ACTIVE
5071502203,Off White L,TSE-25910,ESSENTIAL LUXE,L,"  2,450 ","  2,450 ",Trouser,35%,0%,ACTIVE
5071502204,Off White L,TSE-25910,ESSENTIAL LUXE,L,"  2,450 ","  2,450 ",Trouser,35%,0%,ACTIVE
5071502205,White S,TSE-25810,ESSENTIAL,S,"  1,590 ","  1,590 ",Trouser,35%,0%,ACTIVE
5071502206,White S,TSE-25810,ESSENTIAL,S,"  1,590 ","  1,590 ",Trouser,35%,0%,ACTIVE
5071502207,White S,TSE-25810,ESSENTIAL,S,"  1,590 ","  1,590 ",Trouser,35%,0%,ACTIVE
5071502208,White S,TSE-25810,ESSENTIAL,S,"  1,590 ","  1,590 ",Trouser,35%,0%,ACTIVE
5071502209,White S,TSE-25810,ESSENTIAL,S,"  1,590 ","  1,590 ",Trouser,35%,0%,ACTIVE
5071502210,White S,TSE-25810,ESSENTIAL,S,"  1,590 ","  1,590 ",Trouser,35%,0%,ACTIVE
5071502211,White S,TSE-25810,ESSENTIAL,S,"  1,590 ","  1,590 ",Trouser,35%,0%,ACTIVE
5071502212,White S,TSE-25810,ESSENTIAL,S,"  1,590 ","  1,590 ",Trouser,35%,0%,ACTIVE
5071502213,Magenta  S,TSML-250701,Shireen,S,"  13,450 ","  13,450 ",MONAR LUXE,35%,0%,ACTIVE
5071502214,Magenta  M,TSML-250701,Shireen,M,"  13,450 ","  13,450 ",MONAR LUXE,35%,0%,ACTIVE
5071502215,Magenta  L,TSML-250701,Shireen,L,"  13,450 ","  13,450 ",MONAR LUXE,35%,0%,ACTIVE
